1428.502808;894.115234
1428.506714;894.206177
1294.444214;894.122375
1294.377686;894.204590
1160.398193;894.205017
1160.386108;894.199768
1026.337280;894.149780
1026.317505;894.203735
892.297974;894.186890
892.271240;894.217529
758.266235;894.148804
758.216736;894.203247
624.226868;894.162476
624.165894;894.195984
490.118622;894.161621
490.099304;894.174377
1428.484741;752.208740
1428.497803;752.277405
1294.445557;752.213989
1294.400757;752.274109
1160.399902;752.231750
1160.377441;752.270630
1026.375732;752.210632
1026.316650;752.252686
892.288086;752.216003
892.271240;752.268799
758.261719;752.220947
758.227173;752.269531
624.218384;752.208069
624.169312;752.252991
490.095459;752.227356
490.103607;752.245728
1428.537720;610.232605
1428.506470;610.312622
1294.412231;610.213379
1294.403442;610.300537
1160.385742;610.220093
1160.358521;610.291199
1026.352295;610.218567
1026.322266;610.304138
892.265198;610.190735
892.265015;610.293823
758.262634;610.211548
758.229126;610.300049
624.231262;610.214966
624.197815;610.313660
490.123962;610.214478
490.115356;610.290405
1428.505005;468.366180
1428.483887;468.364014
1294.439819;468.387177
1294.394775;468.367432
1160.373169;468.360077
1160.390381;468.340393
1026.372803;468.351196
1026.307495;468.390411
892.272949;468.336517
892.239075;468.360931
758.258179;468.306122
758.213074;468.373260
624.212341;468.305145
624.194092;468.354584
490.106018;468.287598
490.121613;468.331055
1428.470459;326.391174
1428.483032;326.422546
1294.450562;326.425018
1294.387573;326.413818
1160.422852;326.422180
1160.368286;326.403778
1026.361694;326.394440
1026.319580;326.407135
892.308655;326.396088
892.262207;326.391602
758.290527;326.356171
758.205688;326.393677
624.225403;326.340881
624.188171;326.396515
490.114990;326.339691
490.143951;326.390198
1428.463257;184.384995
1428.486694;184.469711
1294.439087;184.425919
1294.395630;184.453659
1160.411987;184.400970
1160.356445;184.421432
1026.358398;184.350281
1026.309570;184.436142
892.352173;184.369217
892.263184;184.421295
758.277100;184.348648
758.235535;184.430191
624.229736;184.355972
624.196533;184.425385
490.158539;184.383224
490.134003;184.442261
